Hazard ID,File ID,Archived Record Key,LUST Event ID,CS or LUST,Site Name,Address,City,Borough,State,Zip Code,Status,Staff,Landowner,Site Type,Latitude,Longitude,Horizontal Datum
23,820.38.002,1.98031E+12,,CSP,Huslia Huntington School ASTs,Shore Lyin Drive,Huslia,Yukon Koyukuk,AK,99746,Open,Laura Jacobs,DEED,School,65.701956,-156.388669,
99,760.38.001,1.98131E+12,,CSP,Rampart School,Tracts 2A/2B of USS3677,Rampart,Yukon Koyukuk,AK,99767,Open,Christy Howard,DOT,School,65.50499,-150.16999,
161,770.38.002,1.98431E+12,,CSP,Minto School,Laker One St,Minto,Yukon Koyukuk,AK,99758,Open,Erin Gleason,DEED,School,65.152157,-149.348142,WGS84
269,1525.38.011,1.98612E+12,,CSP,Klag Bay Mine,Chichagof Island,Sitka,Sitka,AK,99835,Open,Danielle Duncan,ADNR,Mining Operation,57.663175,-136.096542,NAD83
402,1513.38.009,1.98811E+12,,CSP,AK Juneau Rock Dump (a.k.a. Gastineau Mine),Head of Thane Road,Juneau,Juneau,AK,99801,Open,Danielle Duncan,ADNR,Mining Operation,58.287588,-134.390259,WGS84
408,1525.38.029,1.98812E+12,,CSP,Mount Edgecumbe High School,1330 Seward Avenue,Sitka,Sitka,AK,99835,Open,Danielle Duncan,Alaska Dept. of Education & E. Dev.,School,57.050932,-135.352951,WGS84
454,2333.38.034,1.98823E+12,,CSP,UA Kenai Fire Training Site (MAPTS),Mi. 3.2 Kalifornsky Beach,Soldotna,Kenai Peninsula,AK,99669,Open,Bill O'Connell,University of Alaska - Anchorage,School,60.475797,-151.137874,
578,170.38.035,1.98833E+12,,CSP,ADOT&PF Northway Lakeview  Maint.,Alaska Highway,Northway,Southeast Fairbanks,AK,99764,Open,Laura Jacobs,ADOT&PF - Fairbanks,Maintenance Yard/Shop,62.958227,-141.632498,WGS84
675,2264.38.014,1.98924E+12,,CSP,ADOT&PF Thompson Pass Maint. Stn.,Mile 27 Richardson Hwy.,Valdez,Valdez Cordova,AK,99686,Open,Joshua Barsis,ADOT&PF - Fairbanks,Maintenance Yard/Shop,61.140981,-145.749292,WGS84
926,2100.38.415,1.99021E+12,,CSP,ADOT&PF Tudor Road Maintenance Facility,5848 East Tudor Road,Anchorage,Anchorage,AK,99508,Open,Chelsy Passmore,State of Alaska - ADOTPF DES-Design / Engineering Svcs,Maintenance Yard/Shop,61.178881,-149.775088,
965,2265.38.002,1.99022E+12,,CSP,Meadow Creek Subdivision,9871 West Margin Way,Wasilla,Matanuska Susitna,AK,99687,Open,Peter Campbell,Fred Thoerner State of AK,Maintenance Yard/Shop,61.569167,-149.699444,WGS84
1037,2426.38.001,1.99025E+12,,CSP,Lime Village School,Lime Village,Stony River,Bethel,AK,99557,Open,Erin Gleason,Lime Village Traditional Council,School,61.355425,-155.436844,WGS84
1043,2565.38.001,1.99025E+12,,CSP,Cinnabar Creek Mercury Mine,25 Miles West of Kashegelok,Aniak,Bethel,AK,99557,Open,Anne Marie Palmieri,Alaska Dept. of Natural Res. - Land,Mining Operation,60.78603,-158.867701,WGS84
1071,100.38.070,1.99031E+12,,CSP,FIA - Fire Training Pit,S. End of University Ave.,Fairbanks,Fairbanks North Star,AK,99709,Open,Robert Burgess,ADOT&PF - Fairbanks,Airport/Airfield,64.799169,-147.88075,NAD83
1305,2215.38.023,1.99124E+12,,CSP,ADOT&PF Cordova Maintenance Station,MP 11.7 Copper River Highway,Cordova,Valdez Cordova,AK,99574,Open,Joshua Barsis,ADOT&PF - Valdez,Maintenance Yard/Shop,60.500567,-145.479753,WGS84
1328,2542.38.010,1.99125E+12,,CSP,ADOT&PF Dutch Hbr-Airport Torpedo Building,Unalaska Airport,Unalaska,Aleutian Islands,AK,99685,Open,Grant Lidren,ADOT&PF - Anchorage,Airport/Airfield,53.894701,-166.540614,WGS84
1402,102.38.098,1.99131E+12,,CSP,ADOT&PF Peger Road Facility,2301 Peger Road,Fairbanks,Fairbanks North Star,AK,99709,Open,Jim Fish,ADOT Fairbanks,Maintenance Yard/Shop,64.825963,-147.769907,NAD27
1559,2404.38.010,1.99225E+12,,CSP,MarkAir - Aniak Airport,Airport,Aniak,Bethel,AK,99557,Open,Grant Lidren,ADOT&PF - Anchorage,Airport/Airfield,61.574031,-159.534686,WGS84
1562,2531.38.001,1.99225E+12,,CSP,Chignik Bay School,#1 School Road,Chignik,Lake and Peninsula,AK,99564,Open,Joshua Barsis,"Unknown (This ""Unknown"" Affiliate Is Linked to Multiple Sites. Do Not Modify - Instead Click Remove, Then Select or Enter Another Affiliate)",School,56.292674,-158.405703,WGS84
1571,2404.38.015,1.99225E+12,,CSP,ADOT&PF Aniak Airport GW Study,Airport,Aniak,Bethel,AK,99557,Open,Grant Lidren,ADOT&PF - Anchorage,Airport/Airfield,61.575409,-159.535325,WGS84
1592,830.38.001,1.99231E+12,,CSP,Koyukuk Elementary School,Koyukuk,Koyukuk,Yukon Koyukuk,AK,99754,Open,John Carnahan,DEED,School,64.881543,-157.704205,WGS84
1605,160.38.001,1.99231E+12,,CSP,Circle School - Teacher's Housing,Old School Location,Circle,Yukon Koyukuk,AK,99733,Open,Erin Gleason,Yukon Flats School District (DEED),School,65.825282,-144.063721,
1765,2661.38.004,1.99321E+12,,CSP,MarkAir - Dutch Harbor,Dutch Harbor Airport,Unalaska,Aleutian Islands,AK,99685,Open,Erin Gleason,ADOT&PF  Central Region,Airport/Airfield,53.897058,-166.539561,NAD83
1863,2404.38.005,1.99325E+12,,CSP,ADOT&PF Aniak Maint. Shop Former ASTs,River Road,Aniak,Bethel,AK,99557,Open,Grant Lidren,DEED,Maintenance Yard/Shop,61.57535,-159.529786,WGS84
1878,2444.38.004,1.99325E+12,,CSP,MarkAir - Saint Mary's Airport,Saint Marys Airport,Saint Marys,Wade Hampton,AK,99658,Open,Erin Gleason,DOT Saint Mary's,Airport/Airfield,62.057417,-163.295695,NAD83
1879,2569.38.009,1.99325E+12,,CSP,MarkAir - King Salmon,King Salmon Airport,King Salmon,Bristol Bay,AK,99613,Open,Joshua Barsis,State of Alaska - ADOTPF DES-Design / Engineering Svcs,Airport/Airfield,58.6828,-156.6683,NAD83
1892,2430.38.002,1.99325E+12,,CSP,Mountain Village Elementary School,High School Road ,Mountain Village,Wade Hampton,AK,99632,Open,Erin Gleason,Lower Yukon School District (DEED),School,62.089334,-163.728205,WGS84
1923,100.38.188,1.99331E+12,,CSP,FIA - Drainage Pond,"Fairbanks Int'l Airport Block 2, Lot 3",Fairbanks,Fairbanks North Star,AK,99709,Open,Robert Burgess,ADOT&PF - Fairbanks,Airport/Airfield,64.813852,-147.873181,WGS84
2157,2404.38.006,1.99425E+12,,CSP,ADOT&PF Aniak Runway Apron,Airport Spur Road,Aniak,Bethel,AK,99557,Open,Grant Lidren,ADOT&PF - Anchorage,Airport/Airfield,61.582026,-159.551934,WGS84
2197,2611.57.001,1.99425E+12,,CSP,Manokotak School,Salmon Street,Manokotak,Dillingham,AK,99628,Open,Joy Whitsel,Southwest Region School District (DEED),School,58.980258,-159.058445,NAD83
