Source:,http://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Search Records.csv,,,,,,,,,,,,,,,,
Hazard ID,File ID,Archived Record Key,LUST Event ID,CS or LUST,Site Name,Address,City,Borough,State,Zip Code,Status,Staff,Landowner,Site Type,Latitude,Longitude,Horizontal Datum
23991,2100.26.370,1.99321E+12,380,LUST,Jayhawk Air,1842 Merrill Field Drive; ,Anchorage,Anchorage,AK,99501,Cleanup Complete, No Longer Assigned,Jayhawk Air Inc. Sheri Strahan,Aircraft,61.2137,-149.84644,WGS84
25606,2510.38.003,,,CSP,Muklung Hills GCI Plane Crash,Muklung Hills; ~9 Miles NE of Aleknagik,Aleknagik,Dillingham,AK,99555,Cleanup Complete, No Longer Assigned,U.S.D.I. BLM - Anchorage,Aircraft,59.332833,-158.378333,WGS84
25728,2101.38.142,,,CSP,JBER-Elmendorf SS105 F-22 Raptor Crash Site,Remote Area ~13 Miles NE of Elmendorf; ~48 Miles SE of Cantwell,Elmendorf AFB (JBER),Anchorage,AK,99506,Cleanup Complete, No Longer Assigned,U.S.D.I. BLM - Glennallen,Aircraft,62.92932,-147.81868,NAD83
2108,2407.38.017,1.99425E+12,,CSP,ADOT&PF MarkAir - Bethel,Bethel Airport,Bethel,Bethel,AK,99559,Cleanup Complete - Institutional Controls, IC Unit,ADOT&PF - Anchorage,Aircraft,60.792206,-161.755737,NAD27
23582,2100.26.036.05,1.98821E+12,64,LUST,AFSC - Former Plant #4,3444 W. Int'l Airport Rd.,Anchorage,Anchorage,AK,99502,Cleanup Complete - Institutional Controls,Wendy Hansen,Signature Flt. Support - AFSC,Aircraft,61.173678,-149.949737,NAD83
24575,2320.26.014,1.99723E+12,1253,LUST,Kenai Aviation Service,305 Willow StreetKenai Airport Terminal,Kenai,Kenai Peninsula,AK,99611,Cleanup Complete - Institutional Controls, IC Unit,City of Kenai,Aircraft,60.5646,-151.2477,NAD83
2491,140.38.036,199531X128301,,CSP,Oklahoma Range A-10 Site,Oklahoma Range,Delta Junction,Southeast Fairbanks,AK,99737,Open,Joy Whitsel,US Army Directorate of Public Works,Aircraft,63.996111,-146.281389,NAD27
4309,140.38.046,2.00631E+12,,CSP,Oklahoma Range Hillbilly Lake Blivit Failure,Oklahoma Range near Hillbilly Lake,Delta Junction,Southeast Fairbanks,AK,99737,Open,Joy Whitsel,US Army Directorate of Public Works,Aircraft,63.971733,-146.573667,
156,1530.38.002,1.98411E+12,,CSP,FAA Yakutat Airport Quonset Hut,Near Yakutat Airport,Yakutat,Skagway Yakutat Ango,AK,99689,Cleanup Complete, No Longer Assigned,ADOT&PF - Sitka,Airport/Airfield,59.510767,-139.677945,NAD27
414,2100.38.028.26,1.98821E+12,,CSP,AIA Fire Training Pit,South of Runway 6R,Anchorage,Anchorage,AK,99502,Cleanup Complete, IC Unit,,Airport/Airfield,61.165719,-150.007902,WGS84
