GEO.id,GEO.id2,GEO.display-label,Median_Income
0500000US02013,2013,"Aleutians East Borough, Alaska",65926
0500000US02016,2016,"Aleutians West Census Area, Alaska",86964
0500000US02020,2020,"Anchorage Municipality, Alaska",80862
0500000US02050,2050,"Bethel Census Area, Alaska",53296
0500000US02060,2060,"Bristol Bay Borough, Alaska",88000
0500000US02068,2068,"Denali Borough, Alaska",81302
0500000US02070,2070,"Dillingham Census Area, Alaska",56055
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",73831
0500000US02100,2100,"Haines Borough, Alaska",53125
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",54091
0500000US02110,2110,"Juneau City and Borough, Alaska",87436
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",64891
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",64162
0500000US02150,2150,"Kodiak Island Borough, Alaska",73068
0500000US02158,2158,"Kusilvak Census Area, Alaska",38160
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",43864
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",73908
0500000US02180,2180,"Nome Census Area, Alaska",51563
0500000US02185,2185,"North Slope Borough, Alaska",72027
0500000US02188,2188,"Northwest Arctic Borough, Alaska",61341
0500000US02195,2195,"Petersburg Borough, Alaska",63940
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",51887
0500000US02220,2220,"Sitka City and Borough, Alaska",70160
0500000US02230,2230,"Skagway Municipality, Alaska",64853
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",63713
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",82511
0500000US02275,2275,"Wrangell City and Borough, Alaska",52986
0500000US02282,2282,"Yakutat City and Borough, Alaska",66875
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",38451
