GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US02013,02013,"Aleutians East Borough, Alaska",788,141,499,93,298,62,289,61,3.4,1.2,4.6,1.9,1.7,1.3,4.5,2.5,4.6,1.6,4.8,2.7,0.0,5.7,7.3,2.9,10.3,1.9,5.8,2.6,5.0,3.1,17.0,4.1,7.2,3.2,6.0,4.6,6.0,3.9,9.0,4.9,10.2,2.2,8.2,2.7,6.0,3.2,12.8,4.3,21.8,3.5,22.0,4.6,16.8,4.9,24.6,5.5,15.6,2.8,17.4,3.8,23.5,5.5,10.4,3.2,15.6,2.5,18.6,3.7,27.5,5.6,8.0,3.3,7.1,1.9,6.4,2.2,8.7,3.0,5.5,2.9,4.2,1.6,6.0,2.3,4.7,2.7,1.0,1.3,65926,2430,73661,6812,84375,4063,49250,5537,76438,3972,82876,5555,N,N,57257,4937,20.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),15.2,(X)
0500000US02016,02016,"Aleutians West Census Area, Alaska",1186,162,697,87,500,68,489,89,2.5,0.8,2.2,0.8,0.2,0.5,4.1,1.7,2.9,0.8,1.6,0.9,0.4,0.6,5.1,2.1,4.1,1.3,3.2,1.3,1.2,0.9,5.9,2.4,6.2,1.3,5.5,1.3,3.0,1.3,7.2,2.6,10.7,1.9,8.9,2.2,5.6,2.1,15.3,3.2,15.9,1.9,16.1,2.7,14.4,2.8,16.2,3.1,19.2,2.2,20.2,2.8,21.6,3.5,17.0,3.5,20.5,2.0,22.4,2.4,28.0,3.4,15.7,2.9,9.9,2.3,11.0,3.1,13.8,3.9,8.6,2.5,8.2,1.6,9.0,2.1,11.8,2.9,4.9,1.9,86964,5192,91250,5062,106786,6717,69583,14650,97226,4436,101863,5134,N,N,83256,6610,27.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.5,(X)
0500000US02020,02020,"Anchorage Municipality, Alaska",104969,915,69876,1174,51255,1069,35093,1097,2.8,0.4,2.2,0.4,0.6,0.3,5.3,0.9,2.7,0.4,1.3,0.3,0.6,0.2,5.9,1.0,5.9,0.5,4.4,0.6,2.0,0.4,10.1,1.0,6.2,0.5,4.7,0.7,2.9,0.6,9.4,1.1,11.1,0.8,8.6,0.8,6.3,0.7,16.2,1.6,17.4,0.8,16.4,1.0,14.8,1.1,20.2,1.5,14.5,1.0,15.8,1.2,16.3,1.3,12.4,1.5,20.6,0.8,23.6,1.0,27.5,1.3,12.8,1.2,9.9,0.7,12.0,0.9,14.9,1.1,4.3,0.8,8.8,0.6,11.1,0.8,14.1,1.0,3.5,0.7,80862,1295,94369,1934,110649,2321,53517,1775,102500,1884,114809,2268,131712,2675,71924,3133,25.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.4,(X)
0500000US02050,02050,"Bethel Census Area, Alaska",4555,141,3401,149,2029,122,1154,132,6.6,1.1,6.3,1.3,1.5,0.8,14.1,3.2,5.7,0.9,5.1,1.0,2.2,0.6,8.2,2.1,12.3,1.6,11.3,1.7,8.4,1.7,15.9,3.8,9.4,1.5,9.7,1.7,9.0,2.5,7.3,2.9,13.3,1.9,14.6,2.1,15.1,2.8,9.4,3.2,19.3,2.0,20.7,2.3,23.5,2.9,16.3,4.4,12.7,2.0,11.8,2.2,13.8,3.1,13.1,5.3,11.6,2.1,11.5,2.5,13.9,3.0,10.7,4.6,6.3,1.4,6.9,1.8,10.0,2.6,1.4,1.5,2.7,1.1,2.1,1.0,2.8,1.7,3.6,3.0,53296,2598,53370,2848,63474,3243,40161,7983,66578,3418,65819,3320,78258,4252,58198,8320,55.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),57.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.7,(X)
0500000US02060,02060,"Bristol Bay Borough, Alaska",360,42,231,33,175,28,129,24,3.6,2.1,2.6,2.2,0.6,1.2,7.0,5.6,3.3,2.4,1.7,2.4,0.6,1.3,6.2,4.4,6.1,2.5,4.3,2.7,1.1,2.0,10.1,5.0,6.7,2.8,3.9,2.7,0.6,1.5,10.9,5.3,8.3,3.3,5.2,3.2,5.7,3.7,14.7,8.1,16.1,4.7,18.6,5.7,19.4,5.6,13.2,7.6,15.0,3.7,13.0,4.3,12.6,5.2,16.3,6.4,25.8,4.3,34.6,5.8,39.4,7.1,9.3,5.5,10.0,4.5,11.7,5.5,14.9,7.4,7.0,4.9,5.0,2.5,4.3,3.2,5.1,4.2,5.4,4.1,88000,13265,101875,19261,111750,7793,51875,21336,95439,8543,102750,9671,N,N,77495,16123,24.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.4,(X)
0500000US02068,02068,"Denali Borough, Alaska",707,76,390,49,340,48,317,67,5.4,2.9,2.1,2.3,0.0,5.0,9.5,5.5,1.7,1.7,0.0,4.4,0.0,5.0,3.8,3.7,5.2,3.0,0.5,0.7,0.6,0.8,11.0,6.3,4.1,2.7,4.6,3.5,4.4,3.8,5.0,4.1,12.2,3.8,7.7,4.5,5.3,3.8,17.4,6.8,14.3,4.5,11.3,4.9,11.2,5.3,18.0,7.4,16.5,4.4,20.5,6.2,22.4,7.0,12.3,6.9,25.9,5.6,30.0,7.1,29.7,7.6,18.9,8.1,8.9,3.6,15.9,6.3,17.9,7.0,0.3,1.1,5.8,3.2,7.4,4.6,8.5,5.2,3.8,3.7,81302,5330,101806,9896,105250,13452,55625,17707,93033,10211,110727,11608,N,N,69664,14064,31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.8,(X)
0500000US02070,02070,"Dillingham Census Area, Alaska",1375,69,967,63,592,50,408,51,5.9,1.5,5.6,1.4,1.2,0.8,12.3,4.7,4.7,1.4,2.0,1.1,0.0,2.9,11.3,3.9,13.2,2.6,9.9,2.2,7.1,3.5,20.1,5.6,8.1,1.9,7.9,2.0,5.6,2.4,8.1,3.4,13.0,2.4,19.2,3.1,14.4,4.0,4.2,2.3,19.8,3.2,17.3,2.8,19.3,4.2,21.1,5.8,11.9,2.5,11.9,3.1,15.9,4.2,11.0,5.1,13.8,2.7,15.6,3.1,20.9,4.0,9.6,4.3,6.3,1.8,6.9,2.2,10.5,3.3,1.7,1.8,3.2,1.4,3.7,1.9,5.2,2.9,0.7,1.4,56055,3915,57039,4197,78833,8399,32500,21258,70290,4167,74902,4888,91864,7303,49793,7395,46.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),47.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.8,(X)
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",35303,674,22273,837,17852,883,13030,800,3.1,0.7,2.1,0.8,0.2,0.2,6.1,1.7,3.4,0.8,1.4,0.6,0.7,0.5,7.3,1.9,6.2,1.2,3.2,0.8,1.9,0.7,11.9,3.0,6.7,1.0,5.2,1.0,3.4,0.9,10.1,2.3,13.0,1.5,10.2,1.5,8.9,1.8,17.1,3.0,18.8,1.8,18.3,2.0,17.4,2.1,20.6,3.4,15.9,1.4,17.8,1.8,19.2,1.9,11.6,2.3,17.5,1.7,22.0,2.1,25.0,2.4,8.8,1.7,9.5,1.2,11.9,1.8,13.7,2.0,4.7,1.5,5.9,0.9,8.1,1.5,9.6,1.8,1.7,0.8,73831,2012,88869,3167,96911,4737,46071,4705,89903,3017,104733,4130,115637,4908,60203,3973,29.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.0,(X)
0500000US02100,02100,"Haines Borough, Alaska",1170,107,670,104,588,100,500,133,4.5,3.0,1.3,1.2,0.0,2.9,9.0,7.1,4.4,2.8,0.1,0.4,0.0,2.9,10.2,6.5,5.0,2.1,4.6,3.7,1.2,1.2,7.2,3.6,19.1,8.9,23.0,13.2,22.4,14.9,14.0,9.1,13.2,4.9,13.9,7.5,13.3,8.4,10.4,5.4,18.4,7.5,17.2,9.2,17.9,10.4,20.0,12.2,11.6,6.0,17.3,9.8,19.7,10.9,4.0,5.4,14.0,5.3,17.2,8.4,19.4,9.6,9.8,9.7,3.0,2.5,1.3,1.9,1.5,2.2,5.2,5.2,6.7,6.5,4.0,5.1,4.6,5.7,10.2,12.8,53125,12741,58750,29866,73056,23697,48571,28141,73554,14643,71827,12184,N,N,75563,27312,16.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),14.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.4,(X)
